,»óÈ£¸í,°æµµ,À§µµ
373501,½ºÅ¸¹÷½º,126.929700867318,37.522305793403895
373565,½ºÅ¸¹÷½º¸ñµ¿5´ÜÁöÁ¡,126.882197957914,37.536732898438395
373585,½ºÅ¸¹÷½º¼®ÃÌÈ£¼öÁ¡,127.105216364301,37.5094301379565
373610,½ºÅ¸¹÷½º,126.924866123909,37.5533297985066
373680,½ºÅ¸¹÷½º,126.898837323937,37.4831780131692
373724,½ºÅ¸¹÷½º,126.926163737378,37.520462586264294
373766,½ºÅ¸¹÷½º,126.91393744150601,37.551490770997795
373827,½ºÅ¸¹÷½º´ëÄ¡Á¡,127.06222129600701,37.4996265116081
373925,½ºÅ¸¹÷½º,127.013361956833,37.496354172193705
373951,½ºÅ¸¹÷½º,129.202282582024,35.180742924137995
373954,½ºÅ¸¹÷½º±¤¿î´ëÁ¡,127.060705412335,37.623175176207106
375823,½ºÅ¸¹÷½º,126.966763285432,37.60579292442
375979,½ºÅ¸¹÷½º,129.030019517315,35.0984553759406
377658,½ºÅ¸¹÷½º,127.02634146934601,37.5870983380348
378646,½ºÅ¸¹÷½º,126.972166856166,37.562878601942
378752,½ºÅ¸¹÷½º¼÷´ëÁ¡,126.967303679485,37.544544998587604
378835,½ºÅ¸¹÷½º,127.083043549277,37.5374180669265
379303,½ºÅ¸¹÷½º,127.00239321346001,37.5039300142165
379317,½ºÅ¸¹÷½º,129.061572243583,35.1541148726858
382575,½ºÅ¸¹÷½º,129.12702668665702,35.1746431258659
382590,½ºÅ¸¹÷½º,127.007423858098,37.5092345394587
383142,½ºÅ¸¹÷½º,129.13603906341,35.1690785295441
383184,½ºÅ¸¹÷½º,127.04376206975901,37.503335049003795
383216,½ºÅ¸¹÷½º,126.978972751429,37.5676230751955
383240,½ºÅ¸¹÷½º,127.08796056733401,37.5796252940301
383315,½ºÅ¸¹÷½º,127.034868675382,37.6483488366145
383320,½ºÅ¸¹÷½º±æµ¿»ç°Å¸®Á¡,127.138395512206,37.5346811988164
383336,½ºÅ¸¹÷½º,126.91070635656601,37.5557679688127
383414,½ºÅ¸¹÷½º,126.97298024232501,37.5613448991997
383482,½ºÅ¸¹÷½º,127.04257559708799,37.481988408185295
383537,½ºÅ¸¹÷½ºÀá½ÇÁ¡,127.103446561974,37.5174361339672
383601,½ºÅ¸¹÷½º,127.03471675846201,37.5268330299984
383702,½ºÅ¸¹÷½º°¡»êµðÁöÅÐ´ÜÁöÁ¡,126.882626013373,37.4799532337125
383709,½ºÅ¸¹÷½º±ÝÃµµ¶»êÁ¡,126.895609328207,37.4689563671665
383711,½ºÅ¸¹÷½º,126.976779068076,37.562486166009705
383715,½ºÅ¸¹÷½º,129.176689134256,35.1691772216307
383753,½ºÅ¸¹÷½º³ë¿øÄÉÀÌÆ¼Á¡,127.063825860056,37.6543668305308
383806,½ºÅ¸¹÷½º¿À¸ñ±³¿ªÁ¡,126.876766269365,37.5239406644723
383878,½ºÅ¸¹÷½ºÇÑ¼º´ëÀÔ±¸¿ªÁ¡,127.004904251791,37.58904601155471
383925,½ºÅ¸¹÷½º¼­±³Á¡,126.91690425281,37.5513738575528
383936,½ºÅ¸¹÷½º,129.061903308303,35.1618549283166
383977,½ºÅ¸¹÷½º,126.973244053454,37.5586170363758
383985,½ºÅ¸¹÷½º,126.909582972668,37.518670766386
384005,½ºÅ¸¹÷½º¼ÛÆÄ»ç°Å¸®Á¡,127.110334770409,37.502269334236004
384193,½ºÅ¸¹÷½º,129.035150801164,35.0983215343327
384220,½ºÅ¸¹÷½º,126.844849844365,37.4962051540044
