,종목코드,종목명,종류
1396,073540,에프알텍,KOSDAQ
1397,036810,에프에스티,KOSDAQ
1398,063440,에프엔씨애드컬쳐,KOSDAQ
1399,173940,에프엔씨엔터,KOSDAQ
1400,065160,에프티이앤이,KOSDAQ
1401,054940,엑사이엔씨,KOSDAQ
1402,950130,엑세스바이오(Reg.S),KOSDAQ
1403,205100,엑셈,KOSDAQ
1404,092870,엑시콘,KOSDAQ
1405,067570,엔브이에이치코리아,KOSDAQ
1406,036570,엔씨소프트,KOSPI
1407,217820,엔에스,KOSDAQ
1408,031860,엔에스엔,KOSDAQ
1409,207720,엔에이치SL스팩,KOSDAQ
1410,198440,엔에이치스팩3호,KOSDAQ
1411,215790,엔에이치스팩5호,KOSDAQ
1412,217810,엔에이치스팩7호,KOSDAQ
1413,218410,엔에이치스팩8호,KOSDAQ
1414,225570,엔에이치스팩9호,KOSDAQ
1415,208860,엔지스테크널러지,KOSDAQ
1416,085310,엔케이,KOSPI
1417,009810,엔케이물산,KOSPI
1418,206400,엔터메이트,KOSDAQ
1419,069410,엔텔스,KOSDAQ
1420,068150,엔티피아,KOSDAQ
1421,048830,엔피케이,KOSDAQ
1422,096870,엘디티,KOSDAQ
1423,061970,엘비세미콘,KOSDAQ
1424,138690,엘아이에스,KOSDAQ
1425,066970,엘앤에프,KOSDAQ
1426,156100,엘앤케이바이오,KOSDAQ
1427,073110,엘엠에스,KOSDAQ
1428,083310,엘오티베큠,KOSDAQ
1429,170920,엘티씨,KOSDAQ
1430,058630,엠게임,KOSDAQ
1431,019590,엠벤처투자,KOSDAQ
1432,097520,엠씨넥스,KOSDAQ
1433,009780,엠에스씨,KOSDAQ
1434,123040,엠에스오토텍,KOSDAQ
1435,180400,엠지메드,KOSDAQ
1436,033160,엠케이전자,KOSDAQ
1437,069640,엠케이트렌드,KOSPI
1438,115960,연우,KOSDAQ
1439,090740,연이정보통신,KOSDAQ
1440,014440,영보화학,KOSPI
1441,007530,영신금속,KOSDAQ
1442,143540,영우디에스피,KOSDAQ
1443,111770,영원무역,KOSPI
1444,009970,영원무역홀딩스,KOSPI
1445,036180,영인프런티어,KOSDAQ
1446,003520,영진약품,KOSPI
1447,000670,영풍,KOSPI
1448,036560,영풍정밀,KOSDAQ
1449,006740,영풍제지,KOSPI
1450,012280,영화금속,KOSPI
1451,012160,영흥철강,KOSPI
1452,036000,예림당,KOSDAQ
1453,053280,예스24,KOSDAQ
1454,015360,예스코,KOSPI
